dataset_id,timestamp,image_path,action,random_distance,bumper_event,total_current,final_current,current_samples,encoder_left,encoder_right,imu_roll,imu_pitch,temperature,pressure,humidity
2,2025-06-16T15:09:32.849536,dataset_002_20250616_150932_849.jpg,3,0.0,none,0.0,0.0,0,10533,10287,1.35,-4.27,22.6,1017.9,61.6
3,2025-06-16T15:12:46.263813,dataset_003_20250616_151246_263.jpg,3,0.0,none,0.0,0.0,0,10577,10291,1.47,-4.3,22.7,1017.9,61.5
4,2025-06-16T15:13:04.108177,dataset_004_20250616_151304_108.jpg,5,0.0,none,0.0,0.4,0,10694,9571,1.56,-4.24,22.6,1017.9,61.6
5,2025-06-16T15:13:19.306134,dataset_005_20250616_151319_306.jpg,5,0.0,none,0.0,0.03,0,10928,9934,1.33,-4.04,22.6,1017.8,61.6
6,2025-06-16T15:13:35.300559,dataset_006_20250616_151335_300.jpg,5,0.0,none,0.0,0.0,0,10401,9385,1.29,-4.21,22.7,1017.8,61.6
8,2025-06-16T17:13:33.851460,dataset_008_20250616_171333_851.jpg,3,0.0,none,0.0,0.0,0,10468,10368,0.63,-2.78,23.7,1016.9,60.8
9,2025-06-16T17:13:51.822664,dataset_009_20250616_171351_822.jpg,5,0.0,none,0.0,0.0,0,3283,-1021,0.45,-1.78,23.7,1016.9,60.8
10,2025-06-16T17:14:06.978509,dataset_010_20250616_171406_978.jpg,5,0.0,none,0.0,0.0,0,10905,10564,0.21,-3.28,23.7,1016.8,60.8
11,2025-06-16T17:14:23.389917,dataset_011_20250616_171423_389.jpg,2,0.0,none,0.0,0.0,0,0,0,-0.31,-3.13,23.7,1016.8,60.8
12,2025-06-16T17:14:38.075788,dataset_012_20250616_171438_075.jpg,2,0.0,none,0.0,0.0,0,9487,9472,-0.49,-3.16,23.7,1016.8,60.9
13,2025-06-16T17:14:51.191997,dataset_013_20250616_171451_191.jpg,1,0.0,none,0.0,0.0,0,3952,4019,-0.47,-3.02,23.7,1016.9,60.8
14,2025-06-16T17:15:06.856388,dataset_014_20250616_171506_856.jpg,3,0.0,none,0.0,0.0,0,10155,9986,0.21,-3.69,23.7,1016.8,60.8
16,2025-06-16T17:28:00.481423,dataset_016_20250616_172800_481.jpg,3,0.0,none,0.0,0.0,0,0,0,-0.54,-4.73,23.7,1016.8,60.9
17,2025-06-16T17:28:19.910482,dataset_017_20250616_172819_910.jpg,5,0.0,none,0.0,0.0,0,0,0,-0.54,-4.73,23.7,1016.8,60.9
18,2025-06-16T17:28:33.838454,dataset_018_20250616_172833_838.jpg,5,0.0,none,0.0,0.0,0,0,0,-0.54,-4.73,23.7,1016.8,60.9
19,2025-06-16T17:28:47.990936,dataset_019_20250616_172847_990.jpg,5,0.0,none,0.0,0.0,0,0,0,-0.54,-4.73,23.7,1016.8,60.9
20,2025-06-16T17:29:03.502864,dataset_020_20250616_172903_502.jpg,5,0.0,none,0.0,0.0,0,0,0,-0.54,-4.73,23.7,1016.8,60.9
21,2025-06-16T17:32:16.527086,dataset_021_20250616_173216_527.jpg,3,0.0,none,0.0,0.0,0,9352,9377,0.11,-3.83,24.0,1016.8,58.9
22,2025-06-16T17:32:44.483726,dataset_022_20250616_173244_483.jpg,4,0.0,none,0.0,0.0,0,7220,8250,0.31,-3.3,24.0,1016.8,58.9
23,2025-06-16T17:32:54.146338,dataset_023_20250616_173254_146.jpg,4,0.0,none,0.0,0.0,0,8355,9756,0.47,-3.0,24.0,1016.8,58.9
24,2025-06-16T17:34:44.606507,dataset_024_20250616_173444_606.jpg,3,0.0,none,0.0,0.0,0,9170,9124,0.16,-3.53,24.0,1016.7,58.9
25,2025-06-16T17:35:03.825597,dataset_025_20250616_173503_825.jpg,5,0.0,none,0.0,0.0,0,456,-412,0.19,-3.32,24.0,1016.7,58.9
26,2025-06-16T17:35:17.575570,dataset_026_20250616_173517_575.jpg,3,0.0,none,0.0,0.0,0,8320,8255,0.7,-2.37,24.0,1016.7,58.9
27,2025-06-16T17:35:33.164143,dataset_027_20250616_173533_164.jpg,3,0.0,none,0.0,0.0,0,8575,8584,-0.34,-2.45,24.0,1016.8,58.9
28,2025-06-16T17:35:48.860620,dataset_028_20250616_173548_860.jpg,3,0.0,none,0.0,0.0,0,0,0,-0.55,-2.28,24.0,1016.8,58.9
29,2025-06-16T17:37:49.811472,dataset_029_20250616_173749_811.jpg,3,0.0,none,0.0,0.0,0,6413,6389,0.34,-3.83,24.1,1016.8,58.7
30,2025-06-16T17:38:18.842818,dataset_030_20250616_173818_842.jpg,5,0.0,none,0.0,0.0,0,9399,9210,0.6,-3.11,24.1,1016.8,58.8
31,2025-06-16T17:38:30.432584,dataset_031_20250616_173830_432.jpg,5,0.0,none,0.0,0.0,0,10895,10773,-0.16,-3.14,24.1,1016.8,58.8
