timestamp,action_state,state_instance,imu_roll,imu_pitch,imu_yaw,encoder_left,encoder_right,power_in_voltage,power_in_current,power_out_voltage,power_out_current,ldr_left,ldr_right,temperature,humidity,pressure,bumper_top,bumper_bottom,bumper_left,bumper_right,motion
15.9037,idle,0,-0.08,-7.13,0,0,0,13.21,0,13.21,0.08,0,5,24.7,54.7,1009.7,0,0,0,0,stop
17.9038,idle,1,-0.24,-7.24,0,0,0,13.21,0,13.21,0.08,1,5,24.7,54.7,1009.7,0,0,0,0,stop
15.9038,idle,0,-0.14,-7.14,0,0,0,13.21,0,13.21,0.08,0,8,24.7,54.7,1009.7,0,0,0,0,stop
15.9038,idle,0,-0.02,-7.21,0,0,0,13.21,0,13.21,0.08,0,5,24.7,54.8,1009.7,0,0,0,0,stop
15.9038,idle,0,0.02,-7.14,0,0,0,13.21,0,13.21,0.08,0,5,24.7,54.7,1009.7,0,0,0,0,stop
15.9039,idle,0,-0.22,-7.51,0,0,0,13.21,0,13.21,0.08,1,5,24.7,54.7,1009.7,0,0,0,0,stop
15.9039,idle,0,0.33,-7.46,0,0,0,13.21,0,13.21,0.08,1,5,24.6,54.8,1009.7,0,0,0,0,stop
15.9039,idle,0,-0.16,-7.04,0,0,0,13.21,0,13.21,0.08,0,5,24.7,54.7,1009.7,0,0,0,0,stop
15.904,idle,0,-0.16,-6.76,0,0,0,13.21,0,13.2,0.08,0,6,24.7,54.8,1009.7,0,0,0,0,stop
15.904,idle,0,0.03,-6.96,0,0,0,13.21,0,13.21,0.08,0,6,24.6,54.7,1009.7,0,0,0,0,stop
15.904,idle,0,0,-7.23,0,0,0,13.21,0,13.2,0.08,1,5,24.7,54.7,1009.7,0,0,0,0,stop
15.904,idle,0,0.02,-7.16,0,0,0,13.21,0,13.2,0.08,0,5,24.6,54.7,1009.7,0,0,0,0,stop
15.9041,idle,0,-0.22,-7.22,0,0,0,13.22,0,13.21,0.08,0,6,24.6,54.7,1009.7,0,0,0,0,stop
15.9041,idle,0,-0.08,-7.05,0,0,0,13.21,0,13.21,0.08,1,6,24.6,54.7,1009.7,0,0,0,0,stop
15.9041,idle,0,-0.22,-7.1,0,0,0,13.21,0,13.2,0.08,0,6,24.6,54.7,1009.7,0,0,0,0,stop
15.9042,idle,0,0.02,-7.09,0,0,0,13.21,0,13.2,0.08,0,6,24.6,54.7,1009.7,0,0,0,0,stop
15.9042,idle,0,-0.11,-7.1,0,0,0,13.21,0,13.21,0.08,0,6,24.6,54.7,1009.7,0,0,0,0,stop
15.9042,idle,0,-0.24,-7.17,0,0,0,13.21,0,13.21,0.08,0,5,24.7,54.7,1009.7,0,0,0,0,stop
15.9042,idle,0,0,-7.19,0,0,0,13.21,0,13.21,0.08,1,5,24.6,54.7,1009.7,0,0,0,0,stop
15.9043,idle,0,-0.16,-7.21,0,0,0,13.21,0,13.2,0.08,0,6,24.6,54.7,1009.7,0,0,0,0,stop
15.9043,idle,0,-0.08,-7.12,0,0,0,13.21,0,13.21,0.08,0,5,24.6,54.7,1009.7,0,0,0,0,stop
15.9043,idle,0,-0.05,-7.12,0,0,0,13.21,0,13.2,0.08,0,6,24.6,54.7,1009.7,0,0,0,0,stop
15.9043,idle,0,-0.16,-7.17,0,0,0,13.21,0,13.2,0.08,0,6,24.6,54.7,1009.7,0,0,0,0,stop
15.9044,idle,0,-0.17,-7.17,0,0,0,13.21,0,13.21,0.08,0,6,24.7,54.7,1009.7,0,0,0,0,stop
15.9044,idle,0,-0.05,-7.22,0,0,0,13.21,0,13.21,0.08,0,6,24.7,54.7,1009.7,0,0,0,0,stop
15.9044,idle,0,-0.08,-7.11,0,0,0,13.21,0,13.21,0.08,0,6,24.6,54.7,1009.7,0,0,0,0,stop
15.9045,idle,0,-0.17,-7.19,0,0,0,13.21,0,13.21,0.08,0,8,24.7,54.7,1009.7,0,0,0,0,stop
15.9045,idle,0,0.06,-7.18,0,0,0,13.21,0,13.21,0.08,0,4,24.7,54.7,1009.7,0,0,0,0,stop
15.9045,idle,0,-0.22,-7.01,0,0,0,13.21,0,13.21,0.08,0,6,24.7,54.7,1009.7,0,0,0,0,stop
15.9045,idle,0,-0.11,-7.24,0,0,0,13.21,0,13.21,0.08,0,7,24.6,54.7,1009.7,0,0,0,0,stop
15.9046,idle,0,-0.02,-7.13,0,0,0,13.21,0,13.21,0.08,0,7,24.7,54.7,1009.7,0,0,0,0,stop
15.9046,1,0,-0.24,-7.21,0.09,0,0,13.21,0,13.21,0.08,0,5,24.7,54.7,1009.7,0,0,0,0,moving
15.9046,1,0,-0.06,-7.53,0.28,-58,57,12.89,0,12.69,3.16,0,9,24.7,54.7,1009.7,0,0,0,0,moving
15.9047,1,0,0.49,-7.65,0.44,-283,287,12.76,0,12.89,1.86,0,6,24.7,54.7,1009.7,0,0,0,0,moving
15.9047,1,0,-0.57,-7.32,0.6,-629,644,13.09,0,13,2,0,4,24.7,54.7,1009.7,0,0,0,0,moving
15.9047,1,0,0.1,-7.16,0.76,-1044,1074,12.95,0,12.93,0.98,1,6,24.6,54.7,1009.7,0,0,0,0,moving
15.9047,1,0,-0.28,-6.7,0.94,-1496,1542,13.09,0,12.88,1.71,1,6,24.6,54.7,1009.7,0,0,0,0,moving
15.9048,1,0,0.3,-7,1.11,-1974,2036,13.06,0,13.14,0.59,1,6,24.6,54.7,1009.7,0,0,0,0,moving
15.9048,1,0,0.17,-7.51,1.31,-2470,2550,13.14,0,12.96,1.46,0,7,24.7,54.7,1009.7,0,0,0,0,moving
15.9048,1,0,-3,-9.29,1.52,-2983,3081,12.99,0,13.13,1.28,0,6,24.7,54.7,1009.7,0,0,0,0,moving
