cycle,timestamp,vlm_action,distance_scale,stop_certainty,vision_0,vision_1,vision_2,vision_3,vision_4,vision_5,vision_6,vision_7,vision_8,vision_9,vision_10,vision_11,vision_12,vision_13,vision_14,vision_15,vision_16,vision_17,vision_18,vision_19,vision_20,vision_21,vision_22,vision_23,vision_24,vision_25,vision_26,vision_27,vision_28,vision_29,vision_30,vision_31,vision_32,vision_33,vision_34,vision_35,vision_36,vision_37,vision_38,vision_39,vision_40,vision_41,vision_42,vision_43,vision_44,vision_45,vision_46,vision_47,vision_48,vision_49,vision_50,vision_51,vision_52,vision_53,vision_54,vision_55,vision_56,vision_57,vision_58,vision_59,vision_60,vision_61,vision_62,vision_63,time_category,soc,temperature,humidity,pressure,roll,pitch,ldr_left,ldr_right,bumper_hit,encoder_left,encoder_right,action
1,2025-07-04T15:05:33.703104,5,0.42,0.18,-0.14030103,-0.32959482,-2.0116985,0.78327984,-1.7323452,-0.27547422,-1.3646674,-0.32729545,-0.4927474,0.34397116,0.57446104,0.56180245,2.3948972,-0.03777681,2.4095275,-1.3555396,-1.8737926,0.6841894,1.1777081,-0.4686654,-0.85316414,-0.45289463,-1.2544247,0.2112573,0.18261608,-0.6526892,0.1486429,-0.29460356,0.26956192,0.13657784,-0.6394478,0.047396682,1.2715907,-0.5902785,1.4633663,-0.047638815,0.2545188,0.62548995,1.9876454,0.9791916,-1.2012192,-1.3721511,0.31566498,0.2031761,-1.4914924,-0.18700251,-0.8291798,2.6406102,0.18110622,0.007140667,-1.5504508,0.07935838,0.3575846,-0.0122047225,0.7331152,-0.58146507,-0.009833598,-0.07176201,-0.9198003,0.54158735,-0.60594547,1.363142,0.6121489,0.48521912,0.14803718,0.7154792,0.25439766,0.49559808,10.180238,0.014565794,-0.04495891,0.47103778,0.17718758,0.02684239,0.0018352414,-0.01929383,0.064632
2,2025-07-04T15:05:40.438431,5,0.42,0.18,0.18816042,-0.20999177,-1.8535463,0.27209577,-1.4523532,-0.44547805,-1.2175074,-0.7867115,-0.19940014,0.73045695,0.86240953,-0.4493525,2.37512,-0.12144171,2.6768978,-1.7087761,-1.3591688,0.50000566,1.4185765,-0.34202993,-1.0763576,-0.77641493,-1.4062524,-0.2385937,0.41173387,-0.23696262,0.20589924,0.05820981,0.748947,-0.114200786,-1.300798,-0.42179784,1.3938608,-0.56621665,0.9009386,0.5596159,0.893518,0.5220694,2.3491843,0.7474144,-1.4361846,-1.0625871,0.42622694,0.27672362,-1.0486044,-0.54387856,-0.7175312,2.1587276,0.5210368,0.14582331,-0.7933645,0.6659063,1.046211,-0.6230507,0.18123087,-0.5998265,0.35807186,-0.528401,-0.8376078,0.017742561,-0.994245,1.1779988,0.6868584,-0.009038305,0.13616076,0.72334206,0.24546593,0.4840207,10.181609,-0.01086594,-0.06001654,0.26666677,0.15651828,0.0004515561,-0.00073225267,-0.017105294,0.047956992
3,2025-07-04T15:05:48.675405,2,0.39,0.19,-0.78980845,0.21598755,-1.4417089,0.78898376,-1.5935029,-0.93807966,-1.7490138,-0.857967,-0.720215,0.99029416,0.5815597,0.026620576,1.883652,-0.31678098,2.5164387,-0.882677,-0.45925805,0.9367941,1.6776309,-0.21416253,-1.5501474,-0.18247703,-1.2749659,0.04481855,0.22695895,-0.60397595,-0.4627869,-0.59985965,0.13408116,0.3579145,-0.7533828,-0.17863813,1.4463851,-0.6310439,0.47321665,1.5350479,0.13645251,0.06774657,2.096641,-0.04080607,-1.0995876,-1.0959089,0.82347095,0.4881488,-1.3835657,-0.0041668382,-1.3263222,2.359141,1.1562868,-0.16833307,-0.32849964,0.24572244,0.40993324,-0.44256496,-0.29659447,0.26556757,0.9699409,-0.011884254,-1.2414427,0.9206229,-1.4576662,0.97586656,0.4823611,-0.13649283,0.15980734,0.7027414,0.26137364,0.505163,10.18679,-0.0015673819,-0.06517874,0.5336857,0.20676886,-0.0048365933,-0.003488284,-0.01380177,0.025282558
4,2025-07-04T15:05:56.920040,5,0.44,0.19,0.047137745,-0.27016333,-1.9571899,0.46739545,-1.467285,-0.9168565,-0.9707702,-0.52609247,-0.70725787,1.3313396,1.1830199,-0.5447854,1.940331,-0.10309195,2.261243,-1.4048158,-1.0034178,0.5326825,1.6829267,-0.19415817,-0.88681364,-0.94017875,-1.8511834,-0.19508715,-0.20235229,0.4682545,-0.17028184,-0.5377685,0.91058487,-0.10005538,-1.2657269,-0.2763802,1.2447102,-1.1067308,0.6388536,1.2837907,1.1075004,0.8817799,2.272296,0.21623898,-1.2203884,-0.2544693,-0.22082809,0.16609928,-1.0194154,0.08973624,-0.84455156,2.0282376,0.64133626,0.21040553,-0.8892605,0.033871684,0.49015358,-1.0355954,0.23855168,-0.7112128,0.8141183,-0.14651248,-1.1512746,0.6527059,-0.44847193,1.2871796,0.9629647,-0.54502124,0.16660121,0.69017106,0.2566141,0.49475536,10.178851,0.00025326805,-0.083000004,0.25000128,0.16874674,-0.00018857534,-0.0020138754,-0.0029980328,0.06300144
5,2025-07-04T15:06:03.556426,3,0.4,0.19,-0.50115675,0.6247649,-1.7962011,0.5698567,-1.7107852,-0.68046874,-1.2214193,-0.5306445,-1.2055786,1.3658974,0.81003416,0.123765334,2.0644295,0.46688673,2.9080849,-1.374008,-0.46823624,0.8810105,1.317776,0.18008721,-0.8246749,-0.14135875,-1.9362025,0.12443424,-0.3648726,0.10175538,-0.08571811,-0.27398074,0.83798677,0.28368542,-1.2051219,0.3633822,1.1579322,-0.7902999,0.8435388,0.2682186,0.0033692897,0.34044456,1.8505211,0.5247718,-0.6420929,-1.1464546,0.46212342,0.10881288,-1.1679842,-0.6512799,-0.87083805,2.080698,0.9729597,-0.63359964,-1.5947459,-0.60671777,0.7554365,-0.20493242,0.32272083,0.20763129,0.4158581,-0.6873698,-0.97831124,0.7811749,-0.97684115,1.403042,0.11650679,-0.3677036,0.13337803,0.709102,0.25054088,0.5080202,10.179523,-0.016485007,-0.058550745,0.663862,0.2454905,0.0011654482,1.9291256e-05,-0.019438362,0.04557452
6,2025-07-04T15:06:08.187246,1,0.39,0.19,-0.8741814,0.5707864,-1.8658541,0.4995731,-1.8246046,-1.0543149,-1.2660903,-0.6458512,-1.3179595,1.4117793,0.7130794,0.07775516,1.8487666,0.3260752,2.6836348,-1.5200734,-0.4146897,0.84928465,1.6088732,0.260073,-0.9211951,-0.14575347,-1.921185,0.36607963,-0.11159186,0.13116999,-0.057329662,-0.31300434,0.82649994,0.24504232,-1.2357978,0.47122106,1.220167,-0.583446,0.8324906,0.3107842,0.09157543,0.35335028,2.0162566,0.29931134,-0.6243714,-0.9018184,0.3405934,0.31109807,-1.0316304,-0.4624818,-0.8324075,1.9775224,0.84135795,-0.5135017,-1.6248893,-0.48902494,0.8392667,-0.25393954,0.5638299,0.23102224,0.3959716,-0.59298784,-1.0722119,0.6003647,-1.0373474,1.3230156,0.37118575,-0.29932323,0.15450898,0.70136917,0.2534053,0.49850258,10.188165,-0.01948062,-0.064286634,0.688654,0.22308837,-0.0026172884,-0.0029928624,-0.021752553,-0.001779506
7,2025-07-04T15:06:14.719144,4,0.43,0.19,0.020424949,-0.26587418,-1.9623119,0.72577846,-1.1868036,-0.8036534,-1.2068167,-0.6151061,-0.4146501,1.3249956,1.201398,-0.37116802,2.083152,-0.0047960384,2.4376426,-1.4966625,-1.0080512,0.47701186,1.5761379,-0.2830681,-1.2607864,-1.1715665,-1.4367752,-0.3506885,0.02018607,0.049501996,-0.122642934,-0.3993015,0.6770622,0.28843996,-1.3116341,-0.12498117,1.4859625,-0.8191561,0.7298336,1.0943078,0.89535636,0.4838535,2.1300957,0.54028785,-1.2899885,-0.7437695,0.19470634,-0.25571433,-0.78297347,-0.22205119,-1.2024926,2.2769794,0.7056061,0.3135996,-0.79870784,0.25933728,0.45060548,-0.99497277,0.20661649,-0.68634075,0.7576028,-0.09928137,-1.1652174,0.36977187,-0.7189809,1.1829453,0.8923954,-0.27460948,0.15767808,0.69328094,0.2558402,0.49351937,10.184238,-0.010114448,-0.056064963,0.1558387,0.1317608,-0.015184288,0.008261546,0.0153489625,0.037495095
8,2025-07-04T15:06:21.452878,2,0.4,0.19,-0.28661883,0.03166218,-1.2255756,0.11640289,-1.6501107,-1.2925284,-1.8920219,-0.89447534,-1.1672202,1.4111946,0.80697,-0.09273442,1.6689892,-0.46816212,2.21285,-0.64505374,-0.5678044,0.8480473,1.7922809,0.029499296,-1.2454264,-0.5354602,-1.5599883,0.48449638,0.06528634,-0.2692308,-0.24098754,-0.6215573,0.21867043,0.36370957,-1.0123817,-0.42948413,1.4258524,-0.863597,0.13222972,1.9510041,0.56825346,0.3806769,2.4523017,-0.3045567,-1.146558,-0.53922296,0.36935902,0.63851446,-1.2113541,0.29776052,-1.3504944,2.059265,1.0730504,-0.34291235,-0.096438944,-0.052393753,0.6808653,-0.8274683,-0.17431581,0.17402714,0.9922951,-0.16377687,-0.7868439,0.78292483,-1.2542213,0.7900106,0.63665324,-0.24412772,0.15647283,0.7000663,0.2590951,0.51840603,10.162836,0.004163688,-0.062033333,0.4203328,0.23178998,-0.006516838,0.008205884,0.005145573,0.033654105
9,2025-07-04T15:06:27.585130,5,0.42,0.19,0.0063414476,-0.51045954,-1.5458546,0.53143364,-1.5872475,-0.81853426,-0.8375619,-0.6094629,-0.28891551,1.2139584,0.7872356,-0.45431662,2.3219132,-0.23277669,2.514974,-1.5007573,-1.2796282,0.34662822,1.6978594,-0.16050966,-1.1230297,-1.1027706,-1.4938143,-0.09648883,0.19541307,0.083329,0.264706,-0.37513617,0.8400115,-0.14676465,-1.452015,-0.4419353,1.2828027,-0.76399297,0.7975846,0.7772071,0.89879364,0.6754105,2.345587,0.5057234,-1.4218396,-0.866138,0.18420014,0.31699404,-0.96825427,-0.101287544,-0.87953174,2.1779428,0.6438673,-0.11390166,-1.0301144,0.1609897,0.5500617,-0.67905587,0.43845236,-0.4681805,0.59189993,-0.53881925,-0.9465621,0.43396652,-0.7373677,1.2602911,1.0044193,-0.27697235,0.13843341,0.6964932,0.25769517,0.49858508,10.183911,-0.0031555132,-0.06765669,0.25908297,0.18558922,-0.00776802,-0.016801832,0.00418113,0.053783026
10,2025-07-04T15:06:35.320812,3,0.41,0.2,-0.5729426,0.19017552,-1.826289,0.7176142,-1.2138032,-0.6164654,-0.60451406,-0.54627794,-0.64064604,1.3069797,0.40094852,-0.5806868,1.2234594,0.24946234,2.4876356,-1.5654732,-0.56853014,0.8679743,1.1834021,-0.20627749,-1.5495752,-0.1881813,-1.4301021,-0.19904959,0.4560142,0.05531292,-0.9412281,-0.45777392,-0.050071057,0.19796136,-0.9782951,0.39011145,1.1299735,-0.30591723,0.8708657,1.1626835,0.696846,0.50679094,2.1792965,0.22582713,-1.0436093,-1.6972288,0.33226967,0.04943255,-1.6474005,0.37138483,-1.4814847,1.9361713,0.55321735,0.6647517,-1.5928501,0.3617729,0.5188514,-0.45816755,0.5086268,-0.18937041,1.0567899,0.26270244,-1.7468563,0.810487,-0.9926195,0.904357,1.348928,-0.28739154,0.15307243,0.69809324,0.23537952,0.5116618,10.17638,-0.014214171,-0.06398919,0.69860053,0.23686168,0.0059939683,0.00033319893,0.028968146,0.025656708
